institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Bank of Baroda,Self-employed,775,778,CIBIL 750–799,7.45%,Central Bank of India,7.40%,SBI,7.45%,Bank of India,7.50%
Bank of Baroda,Salaried,825,839,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Bank of Baroda,Self-employed,825,839,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Bank of Baroda,Salaried,790,790,CIBIL 750–799,7.35%,Central Bank of India,7.25%,Bank of India,7.35%,SBI,7.35%
Bank of Baroda,Self-employed,790,790,CIBIL 750–799,7.35%,Central Bank of India,7.25%,Bank of India,7.35%,SBI,7.35%
Bank of Baroda,Salaried,850,850,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Bank of Baroda,Self-employed,850,850,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Canara Bank,Salaried,600,600,CIBIL 600–649,10.00%,SBI,8.70%,Bank of Baroda,9.10%,Central Bank of India,9.15%
Canara Bank,Self-employed,600,600,CIBIL 600–649,10.25%,SBI,8.90%,Bank of Baroda,9.20%,Central Bank of India,9.30%
Canara Bank,Salaried,625,622,CIBIL 600–649,9.75%,SBI,8.55%,Bank of Baroda,8.95%,Central Bank of India,8.95%
Canara Bank,Self-employed,625,622,CIBIL 600–649,10.00%,SBI,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.10%
Canara Bank,Salaried,675,677,CIBIL below 700,9.20%,SBI,8.30%,Bank of Baroda,8.55%,Central Bank of India,8.55%
Canara Bank,Self-employed,675,677,CIBIL below 700,9.40%,SBI,8.45%,Bank of Baroda,8.65%,Central Bank of India,8.70%
Canara Bank,Salaried,725,737,CIBIL 700–749,8.35%,SBI,7.85%,Central Bank of India,7.95%,Bank of Baroda,8.00%
Canara Bank,Self-employed,725,737,CIBIL 700–749,8.45%,SBI,7.95%,Central Bank of India,8.00%,Bank of Baroda,8.05%
Canara Bank,Salaried,775,778,CIBIL 750–799,7.50%,Central Bank of India,7.35%,Bank of Baroda,7.45%,SBI,7.45%
Canara Bank,Self-employed,775,778,CIBIL 750–799,7.55%,Central Bank of India,7.40%,Bank of Baroda,7.45%,SBI,7.45%
Canara Bank,Salaried,825,839,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Canara Bank,Self-employed,825,839,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Canara Bank,Salaried,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%
Canara Bank,Self-employed,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%
Canara Bank,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Canara Bank,Self-employed,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Union Bank of India,Salaried,600,600,CIBIL 600–649,10.00%,SBI,8.70%,Bank of Baroda,9.10%,Central Bank of India,9.15%
Union Bank of India,Self-employed,600,600,CIBIL 600–649,10.25%,SBI,8.90%,Bank of Baroda,9.20%,Central Bank of India,9.30%
Union Bank of India,Salaried,625,622,CIBIL 600–649,9.75%,SBI,8.55%,Bank of Baroda,8.95%,Central Bank of India,8.95%
Union Bank of India,Self-employed,625,622,CIBIL 600–649,10.00%,SBI,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.10%
Union Bank of India,Salaried,675,677,CIBIL below 700,9.20%,SBI,8.30%,Bank of Baroda,8.55%,Central Bank of India,8.55%
Union Bank of India,Self-employed,675,677,CIBIL below 700,9.40%,SBI,8.45%,Bank of Baroda,8.65%,Central Bank of India,8.70%
Union Bank of India,Salaried,725,737,CIBIL 700–749,8.35%,SBI,7.85%,Central Bank of India,7.95%,Bank of Baroda,8.00%
Union Bank of India,Self-employed,725,737,CIBIL 700–749,8.45%,SBI,7.95%,Central Bank of India,8.00%,Bank of Baroda,8.05%
Union Bank of India,Salaried,775,778,CIBIL 750–799,7.50%,Central Bank of India,7.35%,Bank of Baroda,7.45%,SBI,7.45%
Union Bank of India,Self-employed,775,778,CIBIL 750–799,7.55%,Central Bank of India,7.40%,Bank of Baroda,7.45%,SBI,7.45%
Union Bank of India,Salaried,825,839,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Union Bank of India,Self-employed,825,839,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Union Bank of India,Salaried,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%
Union Bank of India,Self-employed,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%
Union Bank of India,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Union Bank of India,Self-employed,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Central Bank of India,Salaried,600,600,CIBIL 600–649,9.15%,SBI,8.70%,Bank of Baroda,9.10%,Bank of India,10.00%
Central Bank of India,Self-employed,600,600,CIBIL 600–649,9.30%,SBI,8.90%,Bank of Baroda,9.20%,Bank of India,10.25%
Central Bank of India,Salaried,625,622,CIBIL 600–649,8.95%,SBI,8.55%,Bank of Baroda,8.95%,Bank of India,9.75%
Central Bank of India,Self-employed,625,622,CIBIL 600–649,9.10%,SBI,8.75%,Bank of Baroda,9.00%,Bank of India,10.00%
Central Bank of India,Salaried,675,677,CIBIL below 700,8.55%,SBI,8.30%,Bank of Baroda,8.55%,Bank of India,9.20%
Central Bank of India,Self-employed,675,677,CIBIL below 700,8.70%,SBI,8.45%,Bank of Baroda,8.65%,Bank of India,9.40%
Central Bank of India,Salaried,725,737,CIBIL 700–749,7.95%,SBI,7.85%,Bank of Baroda,8.00%,Bank of India,8.30%
Central Bank of India,Self-employed,725,737,CIBIL 700–749,8.00%,SBI,7.95%,Bank of Baroda,8.05%,Bank of India,8.40%
Central Bank of India,Salaried,775,778,CIBIL 750–799,7.35%,Bank of Baroda,7.45%,SBI,7.45%,Bank of India,7.50%
Central Bank of India,Self-employed,775,778,CIBIL 750–799,7.40%,Bank of Baroda,7.45%,SBI,7.45%,Bank of India,7.50%
Central Bank of India,Salaried,825,839,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
